subject,grade,prompt,first_word,question_length
physics,5,Why does a ball thrown in the air come back down?,Why,49
history,5,What were some daily activities of children in ancient Egypt?,What,61
physics,6,How does a boat float on water?,How,31
history,6,What was the significance of the Silk Road in ancient times?,What,60
physics,7,What causes the different seasons we experience on Earth?,What,57
history,7,How did the invention of the printing press change the world?,How,61
physics,8,What is the role of gravity in keeping planets in orbit around the sun?,What,71
history,8,Why was the Magna Carta important in the history of democracy?,Why,62
physics,9,How does Newton's Third Law explain how rockets launch?,How,55
physics,10,What is the theory of relativity and why is it important in physics?,What,68
physics,11,Can you explain the concept of quantum mechanics?,Can,49
physics,12,What are black holes and why are they significant in the study of the universe?,What,79
history,12,How did the Industrial Revolution lead to changes in social structures?,How,71
physics,5,What makes magnets attract or repel each other?,What,47
physics,6,How does a prism split white light into colors?,How,47
history,6,What impact did the Roman Empire have on modern law systems?,What,60
physics,7,Why do we see lightning before we hear thunder?,Why,47
history,7,What role did the Great Wall of China play in history?,What,54
physics,8,How do airplanes stay up in the sky?,How,36
history,8,How did the Renaissance change art and culture in Europe?,How,57
physics,9,What is the significance of the conservation of energy principle?,What,65
history,9,What effects did Christopher Columbus' voyages have on the world?,What,65
physics,11,What is the significance of Schrödinger's cat in quantum theory?,What,64
history,11,How did Gandhi's non-violent resistance impact India's independence movement?,How,77
physics,12,Can you explain the concept of string theory in physics?,Can,56
history,12,What were the social and economic impacts of the discovery of the New World?,What,76
history,5,What was life like for children during the Middle Ages?,What,55
physics,6,How does friction affect the speed of moving objects?,How,53
history,6,How did the ancient Egyptians build the pyramids?,How,49
physics,7,What causes sound and how does it travel?,What,41
history,7,What was the significance of the American Revolution?,What,53
physics,8,Why do objects appear smaller when they are farther away?,Why,57
history,8,How did exploration in the 15th and 16th centuries change the world?,How,68
history,9,What was the role of women in World War II?,What,43
physics,10,What are the basic principles of thermodynamics?,What,48
history,10,How did the invention of the steam engine impact society?,How,57
physics,11,How does the Large Hadron Collider help us understand the universe?,How,67
history,11,What were the major outcomes of the Treaty of Versailles?,What,57
physics,12,What are gravitational waves and why are they important?,What,56
history,12,How did the fall of the Berlin Wall affect global politics?,How,59
physics,5,What causes a rainbow to appear in the sky?,What,43
physics,6,What is the difference between potential and kinetic energy?,What,60
history,6,Why is the Magna Carta considered a foundational document in history?,Why,69
physics,7,How do plants use sunlight to make food?,How,40
history,7,What impact did Marco Polo's travels have on the world?,What,55
physics,8,What is the role of photosynthesis in the environment?,What,54
history,8,How did the French Revolution change the course of European history?,How,68
history,10,How did the Enlightenment influence modern democracy?,How,53
physics,11,How does special relativity affect our understanding of time and space?,How,71
history,11,What was the impact of the Industrial Revolution on urbanization?,What,65
physics,12,Can you explain how GPS technology relies on principles of physics?,Can,67
history,5,What was the daily life of a samurai in feudal Japan?,What,53
physics,6,Why do objects have shadows?,Why,28
history,7,What was the significance of the discovery of the Rosetta Stone?,What,64
history,8,How did the invention of the compass impact exploration?,How,56
physics,9,What is the Doppler Effect and how does it relate to sound and light?,What,69
history,10,What were the key events of the American Revolution?,What,52
physics,11,What are the implications of Heisenberg's Uncertainty Principle?,What,64
physics,12,Can you explain the concept of dark matter and dark energy?,Can,59
history,12,What was the role of propaganda in World War I and II?,What,54
physics,5,Why do we need to wear seatbelts in a car?,Why,42
history,5,What are some famous myths from Greek mythology?,What,48
physics,6,How does a magnifying glass make things look bigger?,How,52
history,8,Why is the Declaration of Independence important in American history?,Why,69
physics,9,How do fiber optics transmit information using light?,How,53
history,9,What was the impact of the gold rush on American expansion?,What,59
history,10,What role did nationalism play in the unification of Italy and Germany?,What,71
physics,11,Can you explain the concept of entropy in thermodynamics?,Can,57
history,11,How did the partition of India and Pakistan affect the region?,How,62
physics,12,What is the significance of the Higgs Boson in particle physics?,What,64
history,12,How did the Vietnam War affect international relations and domestic politics in the United States?,How,98
physics,6,Why do objects look smaller when viewed through the opposite end of binoculars?,Why,79
history,6,What were the key contributions of Ancient Greece to modern society?,What,68
physics,7,How do magnets generate electricity in a generator?,How,51
history,8,What were the achievements of the Mayan civilization?,What,53
physics,9,How do submarines dive and resurface in the ocean?,How,50
history,9,How did the Renaissance influence scientific thought?,How,53
physics,10,What is the importance of the conservation of momentum?,What,55
history,10,What were the main causes of the American Civil War?,What,52
physics,11,How do telescopes help us see distant objects in space?,How,55
history,11,What were the social impacts of World War I?,What,44
physics,12,Can you explain the concept of the multiverse theory in physics?,Can,64
history,12,How did the fall of the Soviet Union impact global politics?,How,60
physics,5,"Why do we use different scales (Celsius, Fahrenheit) to measure temperature?",Why,76
history,5,Who was Confucius and what was his impact on Chinese culture?,Who,61
physics,6,Why does a mirror reflect an image?,Why,35
history,6,How did the geography of ancient Egypt shape its culture?,How,57
physics,7,What is the role of friction in everyday life?,What,46
history,7,How did the Renaissance spread across Europe?,How,45
physics,8,How do GPS systems use satellites to determine location?,How,56
history,8,What were the causes and consequences of the Spanish Inquisition?,What,65
physics,9,What are the different types of renewable energy sources?,What,57
history,9,How did colonialism impact the countries of Africa?,How,51
physics,10,How does the Doppler radar work?,How,32
history,10,What role did propaganda play in World War I?,What,45
physics,11,What are the differences between fission and fusion nuclear reactions?,What,70
history,11,What was the impact of the Great Depression on world politics?,What,62
physics,12,How does quantum entanglement challenge our understanding of physics?,How,69
history,12,What was the significance of Nelson Mandela's presidency in South Africa?,What,73
physics,5,How does a periscope work?,How,26
history,5,What was the daily life of a knight during the Middle Ages?,What,59
physics,6,How do plants contribute to the oxygen in the air?,How,50
history,7,How did explorers like Vasco da Gama change world history?,How,58
physics,8,Why do we have time zones?,Why,26
history,8,How did the Scientific Revolution change our view of the universe?,How,66
history,9,What was the Harlem Renaissance and its impact on American culture?,What,67
physics,10,What is the concept of wave-particle duality?,What,45
physics,11,How does the International Space Station stay in orbit?,How,55
history,11,What were the causes and effects of the Cuban Revolution?,What,57
physics,12,Can you explain the significance of the cosmic microwave background radiation?,Can,78
history,12,How did the Korean War influence international relations?,How,57
physics,5,Why do we see stars twinkle?,Why,28
history,5,What was the role of the Roman Senate in ancient Rome?,What,54
physics,6,How do shadows change throughout the day?,How,41
physics,7,How does a bicycle stay upright when moving?,How,44
history,7,What were the consequences of the discovery of the Americas?,What,60
physics,8,What are the effects of pollution on the environment?,What,53
history,8,What was the significance of the Glorious Revolution in England?,What,64
history,9,What was the impact of industrialization on cities?,What,51
physics,10,What are exoplanets and how do we detect them?,What,46
history,10,What were the key events of the French Revolution?,What,50
physics,11,What is the role of dark matter in the universe?,What,48
history,11,How did the Spanish Civil War influence global politics?,How,56
physics,12,Can you explain the importance of the standard model of particle physics?,Can,73
history,12,How did the Civil Rights Movement in the United States change the country?,How,74
physics,5,How does a sundial tell time?,How,29
history,5,What were the achievements of the Ancient Sumerians?,What,52
physics,6,Why do boats made of steel float?,Why,33
history,6,How did the Renaissance artists contribute to art and culture?,How,62
history,7,What was the impact of the invention of gunpowder?,What,50
physics,8,How does the water cycle work?,How,30
history,8,How did the Enlightenment thinkers influence modern philosophy?,How,63
physics,9,What is the principle behind hydraulic systems?,What,47
history,9,What was the role of women during the French Revolution?,What,56
history,10,What was the significance of the discovery of penicillin?,What,57
physics,11,How does the Aurora Borealis occur?,How,35
history,11,What were the consequences of the partition of India and Pakistan?,What,66
physics,12,Can you explain the significance of laser technology in modern physics?,Can,71
history,12,How did the Vietnam War shape American society and politics?,How,60
history,5,What was the significance of the Phoenicians in ancient history?,What,64
history,6,What was the role of the Pharaoh in ancient Egypt?,What,50
physics,7,Why does sound travel faster in water than in air?,Why,50
history,8,What were the causes of the English Civil War?,What,46
physics,9,How does a refrigerator keep food cold?,How,39
physics,10,What is the significance of the photoelectric effect in physics?,What,64
history,10,How did World War II reshape the world map?,How,43
history,11,What was the impact of the Chinese Cultural Revolution?,What,55
physics,12,Can you explain the concept of wavefunction in quantum mechanics?,Can,65
history,12,How did the end of apartheid change South Africa?,How,49
physics,5,How does a flashlight produce light?,How,36
history,5,What was the significance of the Trojan War in ancient Greek history?,What,69
physics,6,Why do we see a blue sky during the day?,Why,40
history,6,What was the role of women in ancient Rome?,What,43
physics,7,How does a magnet affect a compass needle?,How,42
history,7,What were the effects of the Black Death in Europe?,What,51
physics,9,What is the principle behind fiber optic communication?,What,55
history,9,What impact did the Silk Road have on the exchange of ideas and goods?,What,70
physics,10,How does sonar technology work?,How,31
history,10,What were the motivations and consequences of European exploration?,What,67
physics,11,What is the significance of superconductors?,What,44
physics,12,Can you explain the physics behind a black hole's event horizon?,Can,64
history,12,How did the Renaissance influence the Age of Exploration?,How,57
physics,5,Why do we use insulation materials in houses?,Why,45
history,5,What were the contributions of Leonardo da Vinci during the Renaissance?,What,72
history,6,How did the feudal system work?,How,31
physics,7,What is the science behind rainbows?,What,36
history,7,What was the impact of Marco Polo's journey on Europe and Asia?,What,63
physics,8,Why does the Moon have craters?,Why,31
history,9,What were the causes of the French and Indian War?,What,50
physics,10,What is the role of photons in transmitting light?,What,50
history,10,How did the industrial revolution change everyday life?,How,55
history,11,What were the effects of the Spanish-American War?,What,50
physics,12,How do particle accelerators work?,How,34
history,12,What was the impact of the Marshall Plan after World War II?,What,60
physics,5,How do plants help in reducing air pollution?,How,45
history,5,What was the significance of the Mayan calendar?,What,48
physics,6,What are the basic principles of hydraulics?,What,44
physics,8,How does a battery store and release energy?,How,44
physics,9,What are the different types of bridges and how do they work?,What,61
history,9,What was the role of religion in the Aztec civilization?,What,56
physics,10,How do polarized lenses work?,How,29
history,10,How did the discovery of the New World affect Europe?,How,53
history,11,How did the Treaty of Versailles contribute to the rise of Hitler?,How,66
physics,12,What is the significance of the cosmic speed limit (speed of light)?,What,68
history,12,How did the Space Race affect the Cold War?,How,43
physics,5,How does a lever make lifting easier?,How,37
history,5,Who was Julius Caesar and what was his impact on Rome?,Who,54
physics,6,What is the science behind the formation of rain?,What,49
history,6,How did the discovery of the Americas change European politics?,How,63
history,7,What was the significance of the discovery of America by Columbus?,What,66
physics,8,How do light bulbs convert electricity into light?,How,50
history,9,How did the Ottoman Empire influence European history?,How,54
physics,10,How do drones navigate and fly?,How,31
history,10,What were the consequences of the abolition of slavery?,What,55
physics,11,How does the photoelectric effect support the particle theory of light?,How,71
history,11,What was the role of propaganda in shaping public opinion in the 20th century?,What,78
physics,12,Can you explain the phenomenon of quantum tunneling?,Can,52
history,12,How did the Civil Rights Movement impact global human rights policies?,How,70
physics,5,Why do boats have sails?,Why,24
history,6,How did the Reformation impact religious practices in Europe?,How,61
physics,7,What causes volcanoes to erupt?,What,31
history,7,What was the impact of the Renaissance on music and literature?,What,63
history,9,What was the significance of the French Revolution on global politics?,What,70
physics,10,What are semiconductors and why are they important in electronics?,What,66
history,10,How did Napoleon's rule change Europe?,How,38
physics,11,What are the different types of telescopes and their uses?,What,58
history,11,What was the impact of colonialism in Africa?,What,45
physics,12,Can you explain the principle of laser cooling?,Can,47
history,12,How did the Arab Spring change the political landscape in the Middle East?,How,74
history,5,Who was Alexander the Great and what was his impact on history?,Who,63
history,6,How did the Great Wall of China impact the country's history?,How,61
history,7,What was the significance of the Spanish Armada's defeat?,What,57
physics,9,What is the principle behind an electric generator?,What,51
history,10,What were the causes and effects of the Meiji Restoration in Japan?,What,67
physics,11,What is the role of electromagnetism in everyday technology?,What,60
history,11,How did the invention of the car change society?,How,48
physics,12,Can you explain the phenomenon of superfluidity in physics?,Can,59
history,12,What was the impact of Nelson Mandela's presidency on post-apartheid South Africa?,What,82
physics,5,How does a magnifying glass make small things look big?,How,55
history,5,What was daily life like in a medieval European village?,What,56
physics,6,Why do we see the moon during the day sometimes?,Why,48
history,6,How did the Renaissance affect daily life in Europe?,How,52
physics,7,How does a flashlight work?,How,27
history,7,Who were the Aztecs and what was their culture like?,Who,52
physics,8,What is the Coriolis effect?,What,28
history,8,What role did religion play in the lives of people during the Middle Ages?,What,74
physics,9,What is the function of a capacitor in an electronic circuit?,What,61
history,9,How did the Age of Exploration affect the indigenous populations of the Americas?,How,81
physics,10,How do fiber optic cables transmit data?,How,40
history,10,What was the social impact of the printing press?,What,49
physics,11,How does a laser work?,How,22
physics,12,What role does plasma play in the universe?,What,43
history,12,How did the Cold War impact cultural expressions in the United States and Soviet Union?,How,87
physics,5,Why do we get seasons?,Why,22
history,5,What did people eat in ancient Rome?,What,36
physics,7,What are the properties of light waves?,What,39
history,7,How did explorers like Christopher Columbus change the world?,How,61
physics,8,How do wind and water shape the landscape?,How,42
physics,9,Why do we use alternating current (AC) in our homes instead of direct current (DC)?,Why,83
history,9,What was the impact of the Reformation on European society?,What,59
physics,10,What causes tides in the oceans?,What,32
history,10,How did the American Civil War change the United States?,How,56
physics,11,What is the principle of superconductivity?,What,43
history,11,How did the Industrial Revolution affect urban life?,How,52
physics,12,How does the Hubble Space Telescope work?,How,41
history,12,What was the significance of the space race during the Cold War?,What,64
physics,5,Why does sound travel faster in solids than in gases?,Why,53
history,5,Who were the key figures in the American Revolution?,Who,52
physics,6,What causes a rainbow to form?,What,30
physics,7,How does a compass point to the North?,How,38
physics,8,How is energy converted in a hydroelectric power plant?,How,55
history,8,How did the geography of Greece influence its culture and politics?,How,67
physics,9,What is the principle of relativity in physics?,What,47
history,9,What role did trade play in the growth of empires?,What,50
physics,10,How does a thermostat regulate temperature?,How,43
history,10,What were the causes of the Spanish-American War?,What,49
physics,11,What is the concept of wave-particle duality in quantum mechanics?,What,66
history,11,How did the Treaty of Versailles contribute to the start of World War II?,How,73
physics,12,What is the significance of CERN's Large Hadron Collider?,What,57
history,12,How did the discovery of the New World impact European economies?,How,65
history,5,How were the pyramids of Egypt built?,How,37
history,6,What role did art play in Ancient Greece?,What,41
physics,7,How do rainbows form?,How,21
history,7,What was the impact of the Silk Road on global trade?,What,53
history,8,How did the French Revolution influence other countries?,How,56
physics,9,How does a microwave oven heat food?,How,36
physics,10,How does an electromagnet work?,How,31
history,10,What were the effects of the Gold Rush on American society?,What,59
physics,11,What is the role of neutrinos in physics?,What,41
history,11,How did the Meiji Restoration change Japan?,How,43
physics,12,How does quantum computing differ from traditional computing?,How,61
history,12,What were the causes and consequences of the Cuban Missile Crisis?,What,66
physics,5,Why do planets orbit the Sun?,Why,29
history,6,How did the Renaissance change European politics?,How,49
physics,7,What is the role of insulation in keeping houses warm or cool?,What,62
history,7,How did the feudal system work in medieval Europe?,How,50
physics,8,What are renewable and non-renewable energy sources?,What,52
history,8,What was the cultural impact of the Harlem Renaissance?,What,55
history,9,How did the Age of Enlightenment influence political thought?,How,61
history,10,How did the discovery of electricity change the world?,How,54
physics,11,How does the International Space Station maintain its orbit?,How,60
physics,12,What is the role of dark energy in the expanding universe?,What,58
history,12,How did World War II affect the global balance of power?,How,56
physics,5,How does a camera capture an image?,How,35
history,5,What was life like for a Roman soldier?,What,39
physics,6,How do plants use sunlight to grow?,How,35
history,6,What was the importance of the Roman aqueducts?,What,47
physics,7,What is static electricity?,What,27
history,7,What were the achievements of the Byzantine Empire?,What,51
physics,8,How does a battery work?,How,24
history,8,What was the significance of the Berlin Wall during the Cold War?,What,65
physics,9,What is the role of friction in car brakes?,What,43
physics,10,How do geothermal power plants work?,How,36
history,10,What was the impact of the French Revolution on other countries?,What,64
physics,11,What is the principle behind solar panels?,What,42
history,11,How did the Marshall Plan influence post-World War II Europe?,How,61
physics,12,How does the theory of relativity explain black holes?,How,54
history,12,What was the impact of the fall of the Soviet Union on global politics?,What,71
